year,state,state_po,district,party,candidatevotes,totalvotes
2016,Alabama,AL,1,republican,208083,215893
2016,Alabama,AL,2,democrat,112089,276584
2016,Alabama,AL,2,republican,134886,276584
2016,Alabama,AL,3,republican,192164,287104
2016,Alabama,AL,3,democrat,94549,287104
2016,Alabama,AL,4,republican,235925,239444
2016,Alabama,AL,5,republican,205647,308326
2016,Alabama,AL,5,democrat,102234,308326
2016,Alabama,AL,6,democrat,83709,329306
2016,Alabama,AL,6,republican,245313,329306
2016,Alabama,AL,7,democrat,229330,233028
2016,Alaska,AK,0,republican,155088,308198
2016,Alaska,AK,0,democrat,111019,308198
2016,Arizona,AZ,1,republican,121745,280710
2016,Arizona,AZ,1,democrat,142219,280710
2016,Arizona,AZ,2,republican,179806,315679
2016,Arizona,AZ,2,democrat,135873,315679
2016,Arizona,AZ,3,democrat,148973,151035
2016,Arizona,AZ,3,republican,332,151035
2016,Arizona,AZ,4,republican,203487,284783
2016,Arizona,AZ,4,democrat,81296,284783
2016,Arizona,AZ,5,republican,205184,320124
2016,Arizona,AZ,5,democrat,114940,320124
2016,Arizona,AZ,6,democrat,122866,324444
2016,Arizona,AZ,6,republican,201578,324444
2016,Arizona,AZ,7,republican,39286,158811
2016,Arizona,AZ,7,democrat,119465,158811
2016,Arizona,AZ,8,republican,75,298971
2016,Arizona,AZ,8,republican,204942,298971
2016,Arizona,AZ,9,democrat,169055,277507
2016,Arizona,AZ,9,republican,108350,277507
2016,Arkansas,AR,1,republican,183866,241047
2016,Arkansas,AR,2,republican,176472,302464
2016,Arkansas,AR,2,democrat,111347,302464
2016,Arkansas,AR,3,republican,217192,280907
2016,Arkansas,AR,4,republican,182885,244159
2016,California,CA,1,democrat,128588,314036
2016,California,CA,1,republican,185448,314036
2016,California,CA,2,democrat,254194,330766
2016,California,CA,2,republican,76572,330766
2016,California,CA,3,democrat,152513,256966
2016,California,CA,3,republican,104453,256966
2016,California,CA,4,republican,220133,350978
2016,California,CA,4,democrat,130845,350978
2016,California,CA,5,republican,67565,292091
2016,California,CA,5,democrat,224526,292091
2016,California,CA,6,democrat,177565,235413
2016,California,CA,6,republican,57848,235413
2016,California,CA,7,democrat,152133,297301
2016,California,CA,7,republican,145168,297301
2016,California,CA,8,democrat,83035,220007
2016,California,CA,8,republican,136972,220007
2016,California,CA,9,democrat,133163,232155
2016,California,CA,9,republican,98992,232155
2016,California,CA,10,republican,124671,241141
2016,California,CA,10,democrat,116470,241141
2016,California,CA,11,democrat,214868,298209
2016,California,CA,11,republican,83341,298209
2016,California,CA,12,democrat,274035,338845
2016,California,CA,13,republican,29754,322871
2016,California,CA,13,democrat,293117,322871
2016,California,CA,14,democrat,231630,286447
2016,California,CA,14,republican,54817,286447
2016,California,CA,15,republican,70619,269197
2016,California,CA,15,democrat,198578,269197
2016,California,CA,16,democrat,97473,167956
2016,California,CA,16,republican,70483,167956
2016,California,CA,17,democrat,142268,233192
2016,California,CA,17,democrat,90924,233192
2016,California,CA,18,republican,93470,323930
2016,California,CA,18,democrat,230460,323930
2016,California,CA,19,democrat,181802,245863
2016,California,CA,19,republican,64061,245863
2016,California,CA,20,republican,74811,255791
2016,California,CA,20,democrat,180980,255791
2016,California,CA,21,republican,75126,132408
2016,California,CA,21,democrat,57282,132408
2016,California,CA,22,democrat,76211,234966
2016,California,CA,22,republican,158755,234966
2016,California,CA,23,republican,167116,241584
2016,California,CA,23,democrat,74468,241584
2016,California,CA,24,democrat,166034,310814
2016,California,CA,24,republican,144780,310814
2016,California,CA,25,republican,138755,261161
2016,California,CA,25,democrat,122406,261161
2016,California,CA,26,republican,111059,280307
2016,California,CA,26,democrat,169248,280307
2016,California,CA,27,republican,81655,250632
2016,California,CA,27,democrat,168977,250632
2016,California,CA,28,republican,59526,270409
2016,California,CA,28,democrat,210883,270409
2016,California,CA,29,democrat,128407,171824
2016,California,CA,29,democrat,43417,171824
2016,California,CA,30,republican,77325,282604
2016,California,CA,30,democrat,205279,282604
2016,California,CA,31,democrat,121070,215936
2016,California,CA,31,republican,94866,215936
2016,California,CA,32,democrat,114926,186646
2016,California,CA,32,democrat,71720,186646
2016,California,CA,33,republican,110822,330219
2016,California,CA,33,democrat,219397,330219
2016,California,CA,34,democrat,36314,159156
2016,California,CA,34,democrat,122842,159156
2016,California,CA,35,republican,47309,171353
2016,California,CA,35,democrat,124044,171353
2016,California,CA,36,republican,88269,232617
2016,California,CA,36,democrat,144348,232617
2016,California,CA,37,democrat,192490,237272
2016,California,CA,37,democrat,44782,237272
2016,California,CA,38,democrat,163590,232114
2016,California,CA,38,republican,68524,232114
2016,California,CA,39,democrat,112679,263456
2016,California,CA,39,republican,150777,263456
2016,California,CA,40,democrat,106554,149297
2016,California,CA,41,republican,69159,197323
2016,California,CA,41,democrat,128164,197323
2016,California,CA,42,democrat,104689,254236
2016,California,CA,42,republican,149547,254236
2016,California,CA,43,democrat,167017,219516
2016,California,CA,43,republican,52499,219516
2016,California,CA,44,democrat,93124,178413
2016,California,CA,44,democrat,85289,178413
2016,California,CA,45,democrat,129231,311849
2016,California,CA,45,republican,182618,311849
2016,California,CA,46,democrat,49345,164593
2016,California,CA,46,democrat,115248,164593
2016,California,CA,47,republican,88109,242868
2016,California,CA,47,democrat,154759,242868
2016,California,CA,48,republican,178701,306416
2016,California,CA,48,democrat,127715,306416
2016,California,CA,49,republican,155888,310155
2016,California,CA,49,democrat,154267,310155
2016,California,CA,50,republican,179937,283583
2016,California,CA,50,democrat,103646,283583
2016,California,CA,51,republican,54362,199524
2016,California,CA,51,democrat,145162,199524
2016,California,CA,52,republican,139403,320656
2016,California,CA,52,democrat,181253,320656
2016,California,CA,53,republican,97968,296956
2016,California,CA,53,democrat,198988,296956
2016,Colorado,CO,1,democrat,257254,379036
2016,Colorado,CO,1,republican,105030,379036
2016,Colorado,CO,2,democrat,260175,457312
2016,Colorado,CO,2,republican,170001,457312
2016,Colorado,CO,3,republican,204220,374037
2016,Colorado,CO,3,democrat,150914,374037
2016,Colorado,CO,4,republican,248230,390633
2016,Colorado,CO,4,democrat,123642,390633
2016,Colorado,CO,5,republican,225445,361993
2016,Colorado,CO,5,democrat,111676,361993
2016,Colorado,CO,6,republican,191626,376417
2016,Colorado,CO,6,democrat,160372,376417
2016,Colorado,CO,7,democrat,199758,362010
2016,Colorado,CO,7,republican,144066,362010
2016,Connecticut,CT,1,republican,105674,312925
2016,Connecticut,CT,1,democrat,187021,312925
2016,Connecticut,CT,2,republican,111149,330257
2016,Connecticut,CT,2,democrat,186210,330257
2016,Connecticut,CT,3,democrat,192274,309379
2016,Connecticut,CT,3,republican,95786,309379
2016,Connecticut,CT,4,democrat,187811,313540
2016,Connecticut,CT,4,republican,120653,313540
2016,Connecticut,CT,5,democrat,163499,309082
2016,Connecticut,CT,5,republican,124900,309082
2016,Delaware,DE,0,republican,172301,420617
2016,Delaware,DE,0,democrat,233554,420617
2016,Florida,FL,1,republican,255107,369186
2016,Florida,FL,1,democrat,114079,369186
2016,Florida,FL,2,democrat,102801,343362
2016,Florida,FL,2,republican,231163,343362
2016,Florida,FL,3,democrat,136338,342700
2016,Florida,FL,3,republican,193843,342700
2016,Florida,FL,4,democrat,113088,409662
2016,Florida,FL,4,republican,287509,409662
2016,Florida,FL,5,republican,108325,302874
2016,Florida,FL,5,democrat,194549,302874
2016,Florida,FL,6,democrat,151051,364570
2016,Florida,FL,6,republican,213519,364570
2016,Florida,FL,7,republican,171583,353655
2016,Florida,FL,7,democrat,182039,353655
2016,Florida,FL,8,democrat,127127,390561
2016,Florida,FL,8,republican,246483,390561
